parameter,value,units,category,impact,source
"- 5: $130–176 (38 research, 18 listings, 16 ads).",18,count,requirement,linear,docs/archive/economy/economy.md:L210
"- 5: $130–176 (38 research, 18 listings, 16 ads).",16,count,requirement,linear,docs/archive/economy/economy.md:L210
"- **Actions:** Research Product (3h), Optimize Listing (1.8h + $28), Experiment With Ads (2.2h + $34).",3,,requirement,linear,docs/archive/economy/economy.md:L211
"- **Actions:** Research Product (3h), Optimize Listing (1.8h + $28), Experiment With Ads (2.2h + $34).",1.8,,requirement,linear,docs/archive/economy/economy.md:L211
"- **Actions:** Research Product (3h), Optimize Listing (1.8h + $28), Experiment With Ads (2.2h + $34).",28,usd,cost,linear,docs/archive/economy/economy.md:L211
"- **Actions:** Research Product (3h), Optimize Listing (1.8h + $28), Experiment With Ads (2.2h + $34).",2.2,xp,xp,linear,docs/archive/economy/economy.md:L211
"- **Actions:** Research Product (3h), Optimize Listing (1.8h + $28), Experiment With Ads (2.2h + $34).",34,usd,cost,linear,docs/archive/economy/economy.md:L211
"- **Setup:** 8 days × 4h, $960. Maintenance: 2.2h, $24.",8,days,time,linear,docs/archive/economy/economy.md:L215
"- **Setup:** 8 days × 4h, $960. Maintenance: 2.2h, $24.",4,,time,linear,docs/archive/economy/economy.md:L215
"- **Setup:** 8 days × 4h, $960. Maintenance: 2.2h, $24.",960,usd,time,linear,docs/archive/economy/economy.md:L215
"- **Setup:** 8 days × 4h, $960. Maintenance: 2.2h, $24.",2.2,,time,linear,docs/archive/economy/economy.md:L215
"- **Setup:** 8 days × 4h, $960. Maintenance: 2.2h, $24.",24,usd,time,linear,docs/archive/economy/economy.md:L215
"- **Requirements:** Complete `automationCourse`, own `serverCluster` equipment, and have ≥1 Dropshipping & ≥1 E-book active instances.",1,,other,linear,docs/archive/economy/economy.md:L216
- 0: $20–32.,0,,other,linear,docs/archive/economy/economy.md:L218
- 0: $20–32.,20,usd,cost,linear,docs/archive/economy/economy.md:L218
- 0: $20–32.,32,usd,cost,linear,docs/archive/economy/economy.md:L218
- 1: $32–48 (4 features).,1,,requirement,linear,docs/archive/economy/economy.md:L219
- 1: $32–48 (4 features).,32,usd,cost,linear,docs/archive/economy/economy.md:L219
- 1: $32–48 (4 features).,48,usd,cost,linear,docs/archive/economy/economy.md:L219
- 1: $32–48 (4 features).,4,usd,cost,linear,docs/archive/economy/economy.md:L219
"- 2: $54–74 (12 features, 5 stability).",2,,requirement,linear,docs/archive/economy/economy.md:L220
"- 2: $54–74 (12 features, 5 stability).",54,usd,cost,linear,docs/archive/economy/economy.md:L220
"- 2: $54–74 (12 features, 5 stability).",74,usd,cost,linear,docs/archive/economy/economy.md:L220
"- 2: $54–74 (12 features, 5 stability).",12,usd,cost,linear,docs/archive/economy/economy.md:L220
"- 2: $54–74 (12 features, 5 stability).",5,count,requirement,linear,docs/archive/economy/economy.md:L220
"- 3: $84–120 (24 features, 8 stability, 6 marketing).",3,,requirement,linear,docs/archive/economy/economy.md:L221
"- 3: $84–120 (24 features, 8 stability, 6 marketing).",84,usd,cost,linear,docs/archive/economy/economy.md:L221
"- 3: $84–120 (24 features, 8 stability, 6 marketing).",120,usd,cost,linear,docs/archive/economy/economy.md:L221
"- 3: $84–120 (24 features, 8 stability, 6 marketing).",24,usd,cost,linear,docs/archive/economy/economy.md:L221
"- 3: $84–120 (24 features, 8 stability, 6 marketing).",8,count,requirement,linear,docs/archive/economy/economy.md:L221
"- 3: $84–120 (24 features, 8 stability, 6 marketing).",6,count,requirement,linear,docs/archive/economy/economy.md:L221
"- 4: $120–168 (34 features, 12 stability, 10 marketing, 4 edge).",4,,requirement,linear,docs/archive/economy/economy.md:L222
"- 4: $120–168 (34 features, 12 stability, 10 marketing, 4 edge).",120,usd,cost,linear,docs/archive/economy/economy.md:L222
"- 4: $120–168 (34 features, 12 stability, 10 marketing, 4 edge).",168,usd,cost,linear,docs/archive/economy/economy.md:L222
"- 4: $120–168 (34 features, 12 stability, 10 marketing, 4 edge).",34,usd,cost,linear,docs/archive/economy/economy.md:L222
"- 4: $120–168 (34 features, 12 stability, 10 marketing, 4 edge).",12,count,requirement,linear,docs/archive/economy/economy.md:L222
"- 4: $120–168 (34 features, 12 stability, 10 marketing, 4 edge).",10,count,requirement,linear,docs/archive/economy/economy.md:L222
"- 4: $120–168 (34 features, 12 stability, 10 marketing, 4 edge).",4,count,requirement,linear,docs/archive/economy/economy.md:L222
"- 5: $168–220 (48 features, 18 stability, 15 marketing, 8 edge).",5,,requirement,linear,docs/archive/economy/economy.md:L223
"- 5: $168–220 (48 features, 18 stability, 15 marketing, 8 edge).",168,usd,cost,linear,docs/archive/economy/economy.md:L223
"- 5: $168–220 (48 features, 18 stability, 15 marketing, 8 edge).",220,usd,cost,linear,docs/archive/economy/economy.md:L223
"- 5: $168–220 (48 features, 18 stability, 15 marketing, 8 edge).",48,usd,cost,linear,docs/archive/economy/economy.md:L223
"- 5: $168–220 (48 features, 18 stability, 15 marketing, 8 edge).",18,count,requirement,linear,docs/archive/economy/economy.md:L223
"- 5: $168–220 (48 features, 18 stability, 15 marketing, 8 edge).",15,count,requirement,linear,docs/archive/economy/economy.md:L223
"- 5: $168–220 (48 features, 18 stability, 15 marketing, 8 edge).",8,count,requirement,linear,docs/archive/economy/economy.md:L223
"- **Actions:** Ship Feature (3.2h + $28), Improve Stability (2.5h + $36), Launch Campaign (2.5h + $44), Deploy Edge Nodes (3h + $64, requires `serverEdge`).",3.2,,requirement,linear,docs/archive/economy/economy.md:L224
"- **Actions:** Ship Feature (3.2h + $28), Improve Stability (2.5h + $36), Launch Campaign (2.5h + $44), Deploy Edge Nodes (3h + $64, requires `serverEdge`).",28,usd,cost,linear,docs/archive/economy/economy.md:L224
"- **Actions:** Ship Feature (3.2h + $28), Improve Stability (2.5h + $36), Launch Campaign (2.5h + $44), Deploy Edge Nodes (3h + $64, requires `serverEdge`).",2.5,,requirement,linear,docs/archive/economy/economy.md:L224
"- **Actions:** Ship Feature (3.2h + $28), Improve Stability (2.5h + $36), Launch Campaign (2.5h + $44), Deploy Edge Nodes (3h + $64, requires `serverEdge`).",36,usd,cost,linear,docs/archive/economy/economy.md:L224
"- **Actions:** Ship Feature (3.2h + $28), Improve Stability (2.5h + $36), Launch Campaign (2.5h + $44), Deploy Edge Nodes (3h + $64, requires `serverEdge`).",44,usd,cost,linear,docs/archive/economy/economy.md:L224
"- **Actions:** Ship Feature (3.2h + $28), Improve Stability (2.5h + $36), Launch Campaign (2.5h + $44), Deploy Edge Nodes (3h + $64, requires `serverEdge`).",3,,requirement,linear,docs/archive/economy/economy.md:L224
"- **Actions:** Ship Feature (3.2h + $28), Improve Stability (2.5h + $36), Launch Campaign (2.5h + $44), Deploy Edge Nodes (3h + $64, requires `serverEdge`).",64,usd,cost,linear,docs/archive/economy/economy.md:L224
- **Turbo Coffee (`coffee`):** Repeatable boost costing $40 that grants +1 hour for the current day; usage per day capped at `COFFEE_LIMIT = 3`. UI disables when limit hit or no time remains.,40,usd,time,linear,docs/archive/economy/economy.md:L236
- **Turbo Coffee (`coffee`):** Repeatable boost costing $40 that grants +1 hour for the current day; usage per day capped at `COFFEE_LIMIT = 3`. UI disables when limit hit or no time remains.,1,hours,time,linear,docs/archive/economy/economy.md:L236
- **Turbo Coffee (`coffee`):** Repeatable boost costing $40 that grants +1 hour for the current day; usage per day capped at `COFFEE_LIMIT = 3`. UI disables when limit hit or no time remains.,3,,time,cap,docs/archive/economy/economy.md:L236
| studio | $220 | Exclusive `house:lighting` slot | `maint_time_mult: 0.9` for photo/video asset maintenance actions (unlock Stock Photo).,220,usd,cost,linear,docs/archive/economy/economy.md:L242
| studio | $220 | Exclusive `house:lighting` slot | `maint_time_mult: 0.9` for photo/video asset maintenance actions (unlock Stock Photo).,0.9,,time,linear,docs/archive/economy/economy.md:L242
"| studioExpansion | $540 | Requires `studio`; exclusive `house:studio` | `setup_time_mult: 0.85`, `payout_mult: 1.15`, `quality_progress_mult: 2` for photo/video assets and photo hustles.",540,usd,cost,linear,docs/archive/economy/economy.md:L243
"| studioExpansion | $540 | Requires `studio`; exclusive `house:studio` | `setup_time_mult: 0.85`, `payout_mult: 1.15`, `quality_progress_mult: 2` for photo/video assets and photo hustles.",0.85,,time,linear,docs/archive/economy/economy.md:L243
"| studioExpansion | $540 | Requires `studio`; exclusive `house:studio` | `setup_time_mult: 0.85`, `payout_mult: 1.15`, `quality_progress_mult: 2` for photo/video assets and photo hustles.",1.15,,time,linear,docs/archive/economy/economy.md:L243
"| studioExpansion | $540 | Requires `studio`; exclusive `house:studio` | `setup_time_mult: 0.85`, `payout_mult: 1.15`, `quality_progress_mult: 2` for photo/video assets and photo hustles.",2,,income,linear,docs/archive/economy/economy.md:L243
| assistant | $0 | Repeatable | Managed via `assistantHooks`; adds hire/fire controls (see Assistants). |,0,usd,cost,linear,docs/archive/economy/economy.md:L251
| serverRack | $650 | None | `setup_time_mult: 0.95` for software/tech assets & hustles (setup actions). |,650,usd,time,linear,docs/archive/economy/economy.md:L252
| serverRack | $650 | None | `setup_time_mult: 0.95` for software/tech assets & hustles (setup actions). |,0.95,,time,linear,docs/archive/economy/economy.md:L252
"| fulfillmentAutomation | $780 | Active dropshipping ≥2, completed `ecomPlaybook` | Dropshipping `payout_mult: 1.25`, `quality_progress_mult: 2`. |",780,usd,cost,linear,docs/archive/economy/economy.md:L253
"| fulfillmentAutomation | $780 | Active dropshipping ≥2, completed `ecomPlaybook` | Dropshipping `payout_mult: 1.25`, `quality_progress_mult: 2`. |",2,,other,linear,docs/archive/economy/economy.md:L253
"| fulfillmentAutomation | $780 | Active dropshipping ≥2, completed `ecomPlaybook` | Dropshipping `payout_mult: 1.25`, `quality_progress_mult: 2`. |",1.25,,income,linear,docs/archive/economy/economy.md:L253
"| fulfillmentAutomation | $780 | Active dropshipping ≥2, completed `ecomPlaybook` | Dropshipping `payout_mult: 1.25`, `quality_progress_mult: 2`. |",2,,income,linear,docs/archive/economy/economy.md:L253
"| serverCluster | $1150 | Requires `serverRack` | SaaS `payout_mult: 1.2`, `quality_progress_mult: 1.5`. |",1150,usd,cost,linear,docs/archive/economy/economy.md:L254
"| serverCluster | $1150 | Requires `serverRack` | SaaS `payout_mult: 1.2`, `quality_progress_mult: 1.5`. |",1.2,,income,linear,docs/archive/economy/economy.md:L254
"| serverCluster | $1150 | Requires `serverRack` | SaaS `payout_mult: 1.2`, `quality_progress_mult: 1.5`. |",1.5,,income,linear,docs/archive/economy/economy.md:L254
"| globalSupplyMesh | $1150 | `fulfillmentAutomation`, active dropshipping ≥3, completed `photoLibrary` | Dropshipping `payout_mult: 1.3`, `quality_progress_mult: 1.5`, `setup_time_mult: 0.92`; applies to commerce/photo hustles. |",1150,usd,cost,linear,docs/archive/economy/economy.md:L255
"| globalSupplyMesh | $1150 | `fulfillmentAutomation`, active dropshipping ≥3, completed `photoLibrary` | Dropshipping `payout_mult: 1.3`, `quality_progress_mult: 1.5`, `setup_time_mult: 0.92`; applies to commerce/photo hustles. |",3,,other,linear,docs/archive/economy/economy.md:L255
"| globalSupplyMesh | $1150 | `fulfillmentAutomation`, active dropshipping ≥3, completed `photoLibrary` | Dropshipping `payout_mult: 1.3`, `quality_progress_mult: 1.5`, `setup_time_mult: 0.92`; applies to commerce/photo hustles. |",1.3,,income,linear,docs/archive/economy/economy.md:L255
"| globalSupplyMesh | $1150 | `fulfillmentAutomation`, active dropshipping ≥3, completed `photoLibrary` | Dropshipping `payout_mult: 1.3`, `quality_progress_mult: 1.5`, `setup_time_mult: 0.92`; applies to commerce/photo hustles. |",1.5,,time,linear,docs/archive/economy/economy.md:L255
"| globalSupplyMesh | $1150 | `fulfillmentAutomation`, active dropshipping ≥3, completed `photoLibrary` | Dropshipping `payout_mult: 1.3`, `quality_progress_mult: 1.5`, `setup_time_mult: 0.92`; applies to commerce/photo hustles. |",0.92,,time,linear,docs/archive/economy/economy.md:L255
"| serverEdge | $1450 | Requires `serverCluster` | SaaS `payout_mult: 1.35`, `quality_progress_mult: 2`, `maint_time_mult: 0.85`. |",1450,usd,cost,linear,docs/archive/economy/economy.md:L256
"| serverEdge | $1450 | Requires `serverCluster` | SaaS `payout_mult: 1.35`, `quality_progress_mult: 2`, `maint_time_mult: 0.85`. |",1.35,,income,linear,docs/archive/economy/economy.md:L256
"| serverEdge | $1450 | Requires `serverCluster` | SaaS `payout_mult: 1.35`, `quality_progress_mult: 2`, `maint_time_mult: 0.85`. |",2,,time,linear,docs/archive/economy/economy.md:L256
"| serverEdge | $1450 | Requires `serverCluster` | SaaS `payout_mult: 1.35`, `quality_progress_mult: 2`, `maint_time_mult: 0.85`. |",0.85,,time,linear,docs/archive/economy/economy.md:L256
"| whiteLabelAlliance | $1500 | `globalSupplyMesh`, active dropshipping ≥4, completed `ecomPlaybook` & `photoLibrary` | Dropshipping & Stock Photos `payout_mult: 1.35`, `quality_progress_mult: 4/3`. |",1.333333333,,income,linear,docs/archive/economy/economy.md:L257
"| whiteLabelAlliance | $1500 | `globalSupplyMesh`, active dropshipping ≥4, completed `ecomPlaybook` & `photoLibrary` | Dropshipping & Stock Photos `payout_mult: 1.35`, `quality_progress_mult: 4/3`. |",1500,usd,cost,linear,docs/archive/economy/economy.md:L257
"| whiteLabelAlliance | $1500 | `globalSupplyMesh`, active dropshipping ≥4, completed `ecomPlaybook` & `photoLibrary` | Dropshipping & Stock Photos `payout_mult: 1.35`, `quality_progress_mult: 4/3`. |",4,,other,linear,docs/archive/economy/economy.md:L257
"| whiteLabelAlliance | $1500 | `globalSupplyMesh`, active dropshipping ≥4, completed `ecomPlaybook` & `photoLibrary` | Dropshipping & Stock Photos `payout_mult: 1.35`, `quality_progress_mult: 4/3`. |",1.35,,income,linear,docs/archive/economy/economy.md:L257
| creatorPhone | $140 | None | `setup_time_mult: 0.95` for live/field hustles and video assets. |,140,usd,time,linear,docs/archive/economy/economy.md:L267
| creatorPhone | $140 | None | `setup_time_mult: 0.95` for live/field hustles and video assets. |,0.95,,time,linear,docs/archive/economy/economy.md:L267
"| creatorPhonePro | $360 | creatorPhone | `setup_time_mult: 0.85`, `payout_mult: 1.05` for same targets. |",360,usd,time,linear,docs/archive/economy/economy.md:L268
"| creatorPhonePro | $360 | creatorPhone | `setup_time_mult: 0.85`, `payout_mult: 1.05` for same targets. |",0.85,,time,linear,docs/archive/economy/economy.md:L268
"| creatorPhonePro | $360 | creatorPhone | `setup_time_mult: 0.85`, `payout_mult: 1.05` for same targets. |",1.05,,time,linear,docs/archive/economy/economy.md:L268
"| creatorPhoneUltra | $720 | creatorPhonePro | `setup_time_mult: 0.8`, `payout_mult: 1.08`. |",720,usd,time,linear,docs/archive/economy/economy.md:L269
"| creatorPhoneUltra | $720 | creatorPhonePro | `setup_time_mult: 0.8`, `payout_mult: 1.08`. |",0.8,,time,linear,docs/archive/economy/economy.md:L269
"| creatorPhoneUltra | $720 | creatorPhonePro | `setup_time_mult: 0.8`, `payout_mult: 1.08`. |",1.08,,time,linear,docs/archive/economy/economy.md:L269
| studioLaptop | $280 | None | `setup_time_mult: 0.92` for desktop_work assets/hustles. |,280,usd,time,linear,docs/archive/economy/economy.md:L275
| studioLaptop | $280 | None | `setup_time_mult: 0.92` for desktop_work assets/hustles. |,0.92,,time,linear,docs/archive/economy/economy.md:L275
"| editingWorkstation | $640 | studioLaptop | `setup_time_mult: 0.85`, `maint_time_mult: 0.9` for desktop_work/video assets. |",640,usd,time,linear,docs/archive/economy/economy.md:L276
"| editingWorkstation | $640 | studioLaptop | `setup_time_mult: 0.85`, `maint_time_mult: 0.9` for desktop_work/video assets. |",0.85,,time,linear,docs/archive/economy/economy.md:L276
"| editingWorkstation | $640 | studioLaptop | `setup_time_mult: 0.85`, `maint_time_mult: 0.9` for desktop_work/video assets. |",0.9,,time,linear,docs/archive/economy/economy.md:L276
"| quantumRig | $1280 | editingWorkstation | `payout_mult: 1.12`, `maint_time_mult: 0.85` for desktop_work/software/video assets. |",1280,usd,cost,linear,docs/archive/economy/economy.md:L277
"| quantumRig | $1280 | editingWorkstation | `payout_mult: 1.12`, `maint_time_mult: 0.85` for desktop_work/software/video assets. |",1.12,,time,linear,docs/archive/economy/economy.md:L277
"| quantumRig | $1280 | editingWorkstation | `payout_mult: 1.12`, `maint_time_mult: 0.85` for desktop_work/software/video assets. |",0.85,,time,linear,docs/archive/economy/economy.md:L277
| monitorHub | $180 | None | Provides 2 monitor slots; `setup_time_mult: 0.95` desktop_work setup. |,180,usd,cost,linear,docs/archive/economy/economy.md:L283
| monitorHub | $180 | None | Provides 2 monitor slots; `setup_time_mult: 0.95` desktop_work setup. |,2,,time,linear,docs/archive/economy/economy.md:L283
| monitorHub | $180 | None | Provides 2 monitor slots; `setup_time_mult: 0.95` desktop_work setup. |,0.95,,time,linear,docs/archive/economy/economy.md:L283
"| dualMonitorArray | $240 | monitorHub, consumes 1 slot | `quality_progress_mult: 1.2` for desktop_work/video assets. |",240,usd,cost,linear,docs/archive/economy/economy.md:L284
"| dualMonitorArray | $240 | monitorHub, consumes 1 slot | `quality_progress_mult: 1.2` for desktop_work/video assets. |",1,,income,linear,docs/archive/economy/economy.md:L284
"| dualMonitorArray | $240 | monitorHub, consumes 1 slot | `quality_progress_mult: 1.2` for desktop_work/video assets. |",1.2,,income,linear,docs/archive/economy/economy.md:L284
"| colorGradingDisplay | $380 | dualMonitorArray, consumes 1 slot | `quality_progress_mult: 1.3` for video/photo assets. |",380,usd,cost,linear,docs/archive/economy/economy.md:L285
"| colorGradingDisplay | $380 | dualMonitorArray, consumes 1 slot | `quality_progress_mult: 1.3` for video/photo assets. |",1,,income,linear,docs/archive/economy/economy.md:L285
"| colorGradingDisplay | $380 | dualMonitorArray, consumes 1 slot | `quality_progress_mult: 1.3` for video/photo assets. |",1.3,,income,linear,docs/archive/economy/economy.md:L285
| camera | $200 | None | Unlocks vlog/stock photo assets; `setup_time_mult: 0.9` for photo/video setups. |,200,usd,cost,linear,docs/archive/economy/economy.md:L291
| camera | $200 | None | Unlocks vlog/stock photo assets; `setup_time_mult: 0.9` for photo/video setups. |,0.9,,time,linear,docs/archive/economy/economy.md:L291
"| cameraPro | $480 | camera | `setup_time_mult: 0.85`, `maint_time_mult: 0.85`, `payout_mult: 1.25`, `quality_progress_mult: 2` for photo/video assets and actions. |",480,usd,time,linear,docs/archive/economy/economy.md:L292
"| cameraPro | $480 | camera | `setup_time_mult: 0.85`, `maint_time_mult: 0.85`, `payout_mult: 1.25`, `quality_progress_mult: 2` for photo/video assets and actions. |",0.85,,time,linear,docs/archive/economy/economy.md:L292
"| cameraPro | $480 | camera | `setup_time_mult: 0.85`, `maint_time_mult: 0.85`, `payout_mult: 1.25`, `quality_progress_mult: 2` for photo/video assets and actions. |",1.25,,time,linear,docs/archive/economy/economy.md:L292
"| cameraPro | $480 | camera | `setup_time_mult: 0.85`, `maint_time_mult: 0.85`, `payout_mult: 1.25`, `quality_progress_mult: 2` for photo/video assets and actions. |",2,,income,linear,docs/archive/economy/economy.md:L292
Single upgrade: `audioSuite` costs $420 and multiplies quality progress by 1.4 for audio/video assets.,420,usd,cost,linear,docs/archive/economy/economy.md:L296
Single upgrade: `audioSuite` costs $420 and multiplies quality progress by 1.4 for audio/video assets.,1.4,,other,linear,docs/archive/economy/economy.md:L296
- `ergonomicRefit` costs $180 and multiplies desktop_work maintenance time by 0.95.,180,usd,cost,linear,docs/archive/economy/economy.md:L300
- `ergonomicRefit` costs $180 and multiplies desktop_work maintenance time by 0.95.,0.95,,time,linear,docs/archive/economy/economy.md:L300
- `fiberInternet` costs $260 and multiplies maintenance time by 0.9 for video/software assets and live/software hustles.,260,usd,time,linear,docs/archive/economy/economy.md:L301
- `fiberInternet` costs $260 and multiplies maintenance time by 0.9 for video/software assets and live/software hustles.,0.9,,time,linear,docs/archive/economy/economy.md:L301
- `backupPowerArray` costs $260 and multiplies maintenance time by 0.95 for desktop_work/video assets.,260,usd,time,linear,docs/archive/economy/economy.md:L302
- `backupPowerArray` costs $260 and multiplies maintenance time by 0.95 for desktop_work/video assets.,0.95,,time,linear,docs/archive/economy/economy.md:L302
- `scratchDriveArray` costs $320 and multiplies maintenance time by 0.9 for video/photo/software assets.,320,usd,time,linear,docs/archive/economy/economy.md:L303
- `scratchDriveArray` costs $320 and multiplies maintenance time by 0.9 for video/photo/software assets.,0.9,,time,linear,docs/archive/economy/economy.md:L303
"| editorialPipeline | $360 | Course upgrade, active blog, completed Outline Mastery | `setup_time_mult: 0.88`, `payout_mult: 1.2`, `quality_progress_mult: 1.5` for writing/content assets and writing hustles. |",360,usd,cost,linear,docs/archive/economy/economy.md:L309
"| editorialPipeline | $360 | Course upgrade, active blog, completed Outline Mastery | `setup_time_mult: 0.88`, `payout_mult: 1.2`, `quality_progress_mult: 1.5` for writing/content assets and writing hustles. |",0.88,,time,linear,docs/archive/economy/economy.md:L309
"| editorialPipeline | $360 | Course upgrade, active blog, completed Outline Mastery | `setup_time_mult: 0.88`, `payout_mult: 1.2`, `quality_progress_mult: 1.5` for writing/content assets and writing hustles. |",1.2,,time,linear,docs/archive/economy/economy.md:L309
"| editorialPipeline | $360 | Course upgrade, active blog, completed Outline Mastery | `setup_time_mult: 0.88`, `payout_mult: 1.2`, `quality_progress_mult: 1.5` for writing/content assets and writing hustles. |",1.5,,income,linear,docs/archive/economy/economy.md:L309
"| syndicationSuite | $720 | editorialPipeline, active blog & e-book, completed Brand Voice Lab | `maint_time_mult: 0.9`, `payout_mult: 1.25`, `quality_progress_mult: 4/3` for writing/content/video assets and writing/marketing hustles. |",1.333333333,,income,linear,docs/archive/economy/economy.md:L310
"| syndicationSuite | $720 | editorialPipeline, active blog & e-book, completed Brand Voice Lab | `maint_time_mult: 0.9`, `payout_mult: 1.25`, `quality_progress_mult: 4/3` for writing/content/video assets and writing/marketing hustles. |",720,usd,cost,linear,docs/archive/economy/economy.md:L310
"| syndicationSuite | $720 | editorialPipeline, active blog & e-book, completed Brand Voice Lab | `maint_time_mult: 0.9`, `payout_mult: 1.25`, `quality_progress_mult: 4/3` for writing/content/video assets and writing/marketing hustles. |",0.9,,time,linear,docs/archive/economy/economy.md:L310
"| syndicationSuite | $720 | editorialPipeline, active blog & e-book, completed Brand Voice Lab | `maint_time_mult: 0.9`, `payout_mult: 1.25`, `quality_progress_mult: 4/3` for writing/content/video assets and writing/marketing hustles. |",1.25,,time,linear,docs/archive/economy/economy.md:L310
"| immersiveStoryWorlds | $1080 | syndicationSuite, active blog/e-book/vlog, completed Outline Mastery & Brand Voice Lab | `payout_mult: 1.12`, `setup_time_mult: 0.85`, `quality_progress_mult: 2` for writing/video/photo assets. |",1080,usd,cost,linear,docs/archive/economy/economy.md:L311
"| immersiveStoryWorlds | $1080 | syndicationSuite, active blog/e-book/vlog, completed Outline Mastery & Brand Voice Lab | `payout_mult: 1.12`, `setup_time_mult: 0.85`, `quality_progress_mult: 2` for writing/video/photo assets. |",1.12,,time,linear,docs/archive/economy/economy.md:L311
"| immersiveStoryWorlds | $1080 | syndicationSuite, active blog/e-book/vlog, completed Outline Mastery & Brand Voice Lab | `payout_mult: 1.12`, `setup_time_mult: 0.85`, `quality_progress_mult: 2` for writing/video/photo assets. |",0.85,,time,linear,docs/archive/economy/economy.md:L311
"| immersiveStoryWorlds | $1080 | syndicationSuite, active blog/e-book/vlog, completed Outline Mastery & Brand Voice Lab | `payout_mult: 1.12`, `setup_time_mult: 0.85`, `quality_progress_mult: 2` for writing/video/photo assets. |",2,,income,linear,docs/archive/economy/economy.md:L311
"| course | $260 | Active blog | `payout_mult: 1.5`, `quality_progress_mult: 2` for blog assets. |",260,usd,cost,linear,docs/archive/economy/economy.md:L312
"| course | $260 | Active blog | `payout_mult: 1.5`, `quality_progress_mult: 2` for blog assets. |",1.5,,income,linear,docs/archive/economy/economy.md:L312
"| course | $260 | Active blog | `payout_mult: 1.5`, `quality_progress_mult: 2` for blog assets. |",2,,income,linear,docs/archive/economy/economy.md:L312
"- Hustle education bonuses stack additively (multipliers add to 1, flats add outright) before upgrade multipliers; card details include unlocked bonus descriptions drawn from the same data set.",1,,other,linear,docs/archive/economy/economy.md:L320
"""phase"": ""Phase 1"",",1,,other,linear,docs/normalized_economy.json:L3
"""base_income"": 30,",30,,income,linear,docs/normalized_economy.json:L13
"""variance"": 0.2,",0.2,,income,linear,docs/normalized_economy.json:L14
"""setup_time"": 540,",540,,time,linear,docs/normalized_economy.json:L15
"""setup_cost"": 180,",180,,cost,linear,docs/normalized_economy.json:L16
"""maintenance_time"": 36,",36,,time,linear,docs/normalized_economy.json:L17
"""maintenance_cost"": 3,",3,,cost,linear,docs/normalized_economy.json:L18
"""level"": 0,",0,,progression,linear,docs/normalized_economy.json:L21
"""income_min"": 3,",3,,income,linear,docs/normalized_economy.json:L22
"""income_max"": 6,",6,,limit,cap,docs/normalized_economy.json:L23
"""level"": 1,",1,,progression,linear,docs/normalized_economy.json:L27
"""income_min"": 9,",9,,income,linear,docs/normalized_economy.json:L28
"""income_max"": 15,",15,,limit,cap,docs/normalized_economy.json:L29
"""posts"": 3",3,,requirement,linear,docs/normalized_economy.json:L31
"""level"": 2,",2,,progression,linear,docs/normalized_economy.json:L35
"""income_min"": 16,",16,,income,linear,docs/normalized_economy.json:L36
"""income_max"": 24,",24,,limit,cap,docs/normalized_economy.json:L37
"""posts"": 9,",9,,requirement,linear,docs/normalized_economy.json:L39
"""seo"": 2",2,,requirement,linear,docs/normalized_economy.json:L40
"""level"": 3,",3,,progression,linear,docs/normalized_economy.json:L44
"""income_min"": 30,",30,,income,linear,docs/normalized_economy.json:L45
"""income_max"": 42,",42,,limit,cap,docs/normalized_economy.json:L46
"""posts"": 18,",18,,requirement,linear,docs/normalized_economy.json:L48
"""seo"": 5,",5,,requirement,linear,docs/normalized_economy.json:L49
"""outreach"": 3",3,,other,linear,docs/normalized_economy.json:L50
"""level"": 4,",4,,progression,linear,docs/normalized_economy.json:L54
"""income_min"": 46,",46,,income,linear,docs/normalized_economy.json:L55
"""income_max"": 62,",62,,limit,cap,docs/normalized_economy.json:L56
"""posts"": 28,",28,,requirement,linear,docs/normalized_economy.json:L58
"""seo"": 9,",9,,requirement,linear,docs/normalized_economy.json:L59
"""outreach"": 6",6,,other,linear,docs/normalized_economy.json:L60
"""level"": 5,",5,,progression,linear,docs/normalized_economy.json:L64
"""income_min"": 64,",64,,income,linear,docs/normalized_economy.json:L65
"""income_max"": 84,",84,,limit,cap,docs/normalized_economy.json:L66
"""posts"": 40,",40,,requirement,linear,docs/normalized_economy.json:L68
"""seo"": 14,",14,,requirement,linear,docs/normalized_economy.json:L69
"""outreach"": 10",10,,other,linear,docs/normalized_economy.json:L70
"""setup_days"": 3,",3,,time,linear,docs/normalized_economy.json:L81
"""setup_minutes_per_day"": 180",180,,time,linear,docs/normalized_economy.json:L82
"""base_income"": 30,",30,,income,linear,docs/normalized_economy.json:L87
"""variance"": 0.2,",0.2,,income,linear,docs/normalized_economy.json:L88
"""setup_time"": 720,",720,,time,linear,docs/normalized_economy.json:L89
"""setup_cost"": 260,",260,,cost,linear,docs/normalized_economy.json:L90
"""maintenance_time"": 30,",30,,time,linear,docs/normalized_economy.json:L91
"""maintenance_cost"": 3,",3,,cost,linear,docs/normalized_economy.json:L92
"""level"": 0,",0,,progression,linear,docs/normalized_economy.json:L95
"""income_min"": 3,",3,,income,linear,docs/normalized_economy.json:L96
"""income_max"": 6,",6,,limit,cap,docs/normalized_economy.json:L97
"""level"": 1,",1,,progression,linear,docs/normalized_economy.json:L101
"""income_min"": 12,",12,,income,linear,docs/normalized_economy.json:L102
"""income_max"": 20,",20,,limit,cap,docs/normalized_economy.json:L103
